Model Number,Model Name,Color,Connectivity,OS,Operating System Version,RAM,Voice Call,Display Size,Sales Package,Display Resolution,Primary Camera,Internal Storage,Processor Speed,Sim Type,Warranty Summary,Display Resolution Type,Display Supported Network,Processor Type,Series,Additional Features,Sim Size,Multi-touch,Sensors,ROM,Battery Capacity,Document Viewer,E-mail,Secondary Camera,Video Recording Resolution,Video Recording,Full HD Recording,HD Recording,Flash,Other Camera Features,2G,3G,Edge,GPRS,Bluetooth Version,USB,Browser,Headphone Jack,Wi-fi Version,Other Connectivity Features,Other Display Features,Display Type,Video Formats Supported,Full HD Playback,HD Playback,Video Playback,Audio Formats Supported,GPS Support,GPS Type,Map Support,Expandable Storage Capacity,Memory Card Slot Type,Memory Card Support,Warranty,Warranty Service Type,Domestic Warranty,Covered in Warranty,Not Covered in Warranty,Warranty Period,Supported Network,Battery Type,Touch Screen Type,Display PPI,Battery Features,RAM Type,Digital Zoom,MRP Price,Discount,Discounted_price,Brand
MGPT04 - 4GB,MGPT04,,Wi-Fi+2G,Android,4.0.4 (Ice Cream Sandwich Jelly Bean Ready),512 MB,,5.08 cm (2 inch),"Cable-Less USB Converter for Easy Dongle or Device Connectivity, Universal Modular Charger along with USB Port, Headphones with Mic, Charging Cable",800 x 600 pixels,1.3 megapixels,4 GB,1.2 GHz,Single Sim,,SD,,ARM Cortex A8,TabTop 7.4,Yes,,,"Accelerometer - Motion Detection, Gyro Sensor",,4000 mAh,Yes,Yes,,307000 pixels,Yes,,,,,Yes,No,Yes,Yes,,"Yes, USB 2.0",Chrome,3.5 mm,802.11 b/g/n,,"LED Backlit with 60,000 Hrs of Life, G?, 137 ppi, Dual View Screen, A Grade, 4:3 Aspect Ratio, 4 Way Rotation, Area 51% higher than 16:9, Never Sleep Option, Capacitive 5 point Touch",,"VP8, MOV, MKV, FLV, MP4, TS, DAT, Pre-installed Live TV & YouTube, Supports 2160p, Plays AVI, MPG, 3GP, VOB, RMVB, WEBM, RM",Yes,Yes,Yes,"WMA, WAV, FLAC, MAA, Music Studio & Live Radio, APE, AAC, MP3, OGA, 3GPP, MP1, MP2, OGG",,"Yes, A-GPS",Google Maps,"1 TB through External Hard Disk, 32 GB through SD Card",MicroSD Card,Yes,12 months,,,,,12 months,WCDMA,Lithium - Polymer,Capacitive,,4000 mAh,DDR3,6,"1,39,080",24%,"1,04,990",Lenovo
QC800,QC800,White,Wi-Fi+3G,Android,4.1 (Jelly Bean),1 GB,Yes,20.32 cm (8 inch),"Quick Start Guide, Headset, Warranty Card, Charger, Data Cable, Tablet",1024 x 768 pixels,2 megapixels,4 GB,1.2 GHz,Single Sim,,SD,GSM,Qualcomm Snapdragon 8225Q Quad Core,,"Antutu Benchmarking, Android Video Player, MX Player, Games",,Yes,Accelerometer,4 GB,4000 mAH,,Yes,0.3 megapixels,,,,,,,Yes,Yes,,,3,"Yes, Micro USB 2.0",Android,3.5 mm,802.11 b/g/n,Wi-Fi Hotspot,"IPS Display, Pinch-to-Zoom",,"H.263, H.264, 3GP, MPEG4, DivX",,Yes,Yes,"MP3, WMA, WAV, AAC+, 3GPP, MIDI, AAC",Yes,A-GPS,Google Maps,32 GB,microSD,Yes,12 months,,,,,12 months,UMTS,Lithium - Polymer,Capacitive,,4000 mAh,,,"18,000",30%,"12,499",Lenovo
MPGJ2HN/A,iPad Pro,Silver,Wi-Fi Only,iOS,10,,No,26.67 cm (10.5 inch),"iPad Pro, Lightning to USB Cable, USB Power Adapter",2224 x 1668 Pixels,12 Megapixels,512 GB,,No Sim,"1 Year on Tablet, 6 Months on Accessories",Quad HD,,A10X Fusion Chip with 64‑bit Architecture with Embedded M10 Coprocessor,,"4 Speaker Audio, ProMotion Technology, Video Calling: FaceTime Video - iPad to Any FaceTime Enabled Device, Audio Calling: FaceTime Audio - iPad to Any FaceTime Enabled Device, Digital Compass, Siri: Use Voice to Send Messages, Set Reminders, and More, Accessibility: AssistiveTouch, Switch Control, Magnifier, Built-in Apps: iTunes Store, iCloud Drive, App Store, iBooks, Photo Booth, Podcasts, Find My iPhone, Find My Friends, iTunes Remote, iMovie",,Yes,"Touch ID, Three‐axis Gyro, Accelerometer, Barometer, Ambient Light Sensor",512 GB,,Yes,Yes,7 Megapixels,,Yes,Yes,Yes,Quad LED True Tone Flash,"Rear Camera: Optical Image Stabilization, Six‑element Lens, Panorama, Sapphire Crystal Lens Cover, Backside Illumination Sensor, Hybrid IR Filter, Autofocus with Focus Pixels, Live Photos with Stabilization, Body and Face Detection, Exposure Control, Noise Reduction, Auto HDR for Photos, Burst Mode, Timer Mode, Photo Geotagging, Front Camera: 1080p HD Video Recording, Retina Flash, Auto HDR, Body and Face Detection, Auto Image Stabilization, Burst Mode, Exposure Control, Timer Mode, Video Recording: Cinematic Video Stabilization, Video Geotagging, Noise Reduction, Continuous Autofocus Video",No,No,,,v4.2,"Yes, Lightning to USB",Safari,3.5 mm,802.11 a/b/g/n/ac,Bluetooth Support,"QHD LED Backlit Multi-touch Display, Wide Color Display, True Tone Display, Fully Laminated Display, Antireflective Coating, Fingerprint-resistant Oleophobic Coating",Retina Display,"H.264, MPEG‑4, MP4, AVI, MOV",Yes,Yes,Yes,"AAC, MP3, WAV, AIFF, AAX",,,Maps,,,No,1 Year,Carry In,,Manufacturing Defects,Physical Damage,1 Year,,Li-ion Polymer,,264 ppi,Non Removable Battery,,5x,"25,000",36%,"15,999",SAMSUNG
HP 10 1901 Tablet India,10,,Wi-Fi+3G,Android,4.1 (Jelly Bean),1 GB,No,25.4 cm (10 inch),"Quick Start Guide, Data Cable, Tablet, AC Charger",1280 x 800 pixels,2 megapixels,8 GB,1.2 GHz,Single Sim,,HD,,Broadcom Cortex A9 Dual Core,,"Skype, Video Chat, Stereo Speakers, Google Play, Google Talk, Calculator, Calendar, Clock, HP ePrint, HP Wallpaper",,5 Point Multi-touch,"Ambient Light Sensor, Gyro, Accelerometer",,4600 mAh,,Yes,0.3 megapixels,,,,,,"Primary Camera: Fixed Focus, Secondary Camera: Fixed Focus",Yes,Yes,,,3,"Yes, 2 x Micro USB","Android, Chrome",3.5 mm,802.11 b/g/n,"Micro HDMI, Integrated Microphone",Auto Rotate,,,,,Yes,MP3,Yes,,Google Maps,32 GB,microSD,Yes,12 months,,,,,12 months,WCDMA,Lithium - Polymer,Capacitive,,4600 mAh,DDR3,,"25,000",44%,"13,999",Lenovo
Slate SL36 OS9,Slate SL36 OS9 SC 4G VOLTE Calling Tab,Black,Wi-Fi+4G,Android,9.0 Pie,2 GB,Yes,25.65 cm (10.1 inch),"Tablet, Charging Power Adapter, Type C USB Cable, Type C OTG Cable, Documentation",1280 x 800$$pixel pixels,8 megapixels,32 GB,2.8 GHz,Dual Sim,"Device: 6 Months, Accessories: 3 Months.",,"4G (VOLTE) 3G, 2G",SC9863 (A55 64-Bit Octa Core) @ 2.8GHz (1.6GHz QuadCore + 1.2GHz QuadCore),,"VOLTE and LTE Supported - Supports Reliance Jio 4G SIM Cards and other Indian 4G network providers, Spreadtrum SC9863 A55 64-Bit Octa Core @ 2.8GHz (1.6GHz QuadCore + 1.2GHz QuadCore), Voice Calling via 4G, 3G & 2G SIM Card, Dual Speakers, Inbuilt GPS Chip and Antenna, Inbuilt FM Radio, Bluetooth 4.0 Connectivity, WiFi Connectivity, WiFi HotSpot Tethering, USB Internet Sharing (Internet from PC), USB Tethering, Bluetooth Tethering, Bluetooth Keyboard and Mouse Support, OTG Support, Supports 480p, 720p and 1080p HD Videos",,Multi Touch 5 Point Capacitive Touch Screen,,32GB,5020 mAh,,,5 megapixels,,Yes,,,LED Flash,,Yes,Yes,,,4.0,,,,,,,10.1-inch (diagonal) LCD - backlit glossy widescreen display,,,,,,Yes,,,128GB Expandable GB,,Yes,,Onsite (Free pickups and deliveries),6 Months,(Against Manufacturing Defects),"Physical damages, Water Damages, Moisture Damages, Seal Tampering & Burnout Cases",,4G VoLTE,Polymer Battery,Multi touch enabled Capacitive touch screen,,Battery: Built-in 5020 mAh rechargeable polymer battery,2 GB DDR III RAM,,"6,250",8% ,"5,750",lenovo
N11 4G Calling Tablet with Keyboard,N11 4G Calling Tablet with Keyboard,Red,Wi-Fi+4G,Android,Android 6.0 Marshmallow,2 GB,Yes,17.78 cm (7 inch),"1 Tablet, Charging Adapter, USB Cable, OTG Cable, User Manual, Keyboard",1024 x 600$$pixel pixels,5 megapixels,32 GB,1.3 GHz,Dual Sim,1 Year warranty for device and 6 Months for box accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4G VoLTE,,,,,,,"21,999",13%,"18,999",Lenovo
ZEBPAD7T500 - 3G,Zabpad,Black,Wi-Fi+3G,Android,4.4,1 GB,Yes,17.78 cm (7 inch),Tablet,1024 x 600 Pixels,5 Megapixels,8 GB,1.2 GHz,,1 Year Warranty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 months,,,,,12 months,,,,,,,,"6,529",No-discount,"6,529",Lenovo
N 12,N12,Purple,4G,Android,Marshmallow,4 GB,Yes,17.78 cm (7 inch),"In Box (Tablet, Charging Adapter, USB Cable, OTG Connector, User Manual)",1024 x 600$$pixel pixels,5 megapixels,32 GB,1.3 GHz,Dual Sim,1 Year warranty for tablet and 6 months for box accessories,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5 mm,,,,,,,,,,,,,,,,,,,,,,4G VoLTE,,,,,,,"37,900",,"37,825",Lenovo
SM-T735NLGEINU,Galaxy Tab S7 FE,Green,Wi-Fi+4G,Android,11,6 GB,Yes,31.5 cm (12.4 inches),"Tablet, SPen, USB Power Adapter (15W), USB Cable, Ejection Pin",2560 x 1600 Pixels,8 Megapixels,128 GB,2.2 GHz,Single Sim,1 Year Manufacturer Warranty for Tablet and 6 Months Warranty for in the Box Accessories,Full HD,,Snapdragon 700 Series,,,,,,,10090 mAh,,,,,,,,,,,,,,v5.0,USB 3.2 Gen 1,,,802.11 ac/b/g/n,,,LCD,,,,,,,,,,,,,1 Year Manufacturer Warranty for Tablet and 6 Months Warranty for in the Box Accessories,,1 year manufacturer warranty for Tablet and 6 months warranty for in the box accessories,,,"UMTS, GSM, 4G LTE",Lithium ion,,,Lithium Ion,,,"13,500",29%,"9,499",Coolpad
MHR83HN/A,iPad Pro 2021 (5th Generation),Space Grey,Wi-Fi+5G,iPadOS,14,8 GB,No,32.77 cm (12.9 inches),"iPad Pro, USB-C Charge Cable (1 metre), 20W USB-C Power Adapter",2732 x 2048 Pixels,12 Megapixels,512 GB,,Single Sim,1 Year Warranty,Quad HD,LTE,Apple M1 Chip,,"FaceTime Video, Centre Stage, iPad to any FaceTime-Enabled Device over Wi-Fi or Cellular, FaceTime Audio, Four Speaker Audio, Five Studio-Quality Microphones for calls, Video Recording and Audio Recording, Enabled by TrueDepth Camera for Facial Recognition, Unlock iPad, Secure Personal Data within Apps, Make purchases from the iTunes Store and the App Store, Use your voice to Send Messages, Set Reminders and more, Get Proactive Suggestions, Use Hands-Free, Listen to and identify Songs, Built-in 40.88-Watt-Hour Rechargeable Battery, VoiceOver, Magnifier, Closed Captions, Voice Control, Siri and Dictation, AssistiveTouch, Zoom, Switch Control, Speak Screen, Apple Pencil, Magic Keyboard, Next Level Performance, Built-in GPS/GNSS, Cellular",Nano SIM,Yes,"Face ID Sensor, LiDAR Scanner Sensor, Three-Axis Gyro Sensor, Accelerometer Sensor, Barometer Sensor, Ambient Light Sensor",512 GB,,Yes,Yes,12 Megapixels,,Yes,Yes,Yes,Rear Camera - Brighter True Tone flash | Front Camera - Retina Flash,"Pro Camera System: Wide and Ultra Wide cameras, Wide: 12MP, f/1.8 Aperture, Ultra Wide: 10MP, f/2.4 Aperture and 125 degree Field of view, 2x Optical Zoom out, Digital Zoom up to 5x, Five-Element Lens (Wide and Ultra Wide), Brighter True Tone flash, Panorama (up to 63MP), Sapphire Crystal Lens Cover, Autofocus with Focus Pixels (Wide), Smart HDR 3, Wide Colour Capture for Photos and Live Photos, Lens Correction (Ultra Wide), Advanced Red-Eye Correction, Photo Geotagging, Auto Image Stabilisation, Burst mode, Image Formats Captured: HEIF and JPEG, 12MP Ultra Wide camera, 122 degree field of view, f/2.4 aperture, Portrait mode with advanced bokeh and Depth Control, Portrait Lighting with six effects (Natural, Studio, Contour, Stage, Stage Mono, High-Key Mono), Animoji and Memoji, Smart HDR 3, 1080p HD video recording at 25 fps, 30 fps or 60 fps, Time-lapse video with stabilisation, Extended dynamic range for video up to 30 fps, Cinematic video stabilisation (1080p and 720p), Wide colour capture for photos and Live Photos, Lens correction, Retina Flash, Auto image stabilisation, Burst mode",,Yes,Yes,Yes,v5.0,Type C USB,,,"5G NR (Bands n1, n2, n3, n5, n7, n8, n12, n20, n25, n28, n38, n40, n41, n66, n71, n77, n78, n79)4, 5G NR mmWave (Bands n260, n261), FDD-LTE (Bands 1, 2, 3, 4, 5, 7, 8, 11, 12, 13, 14, 17, 18, 19, 20, 21, 25, 26, 28, 29, 30, 32, 66, 71), TD-LTE (Bands 34, 38, 39, 40, 41, 42, 46, 48), UMTS/HSPA/HSPA+/DC-HSDPA (850, 900, 1700/2100, 1900, 2100 MHz), GSM/EDGE (850, 900, 1800, 1900 MHz), Data only, Wi-Fi calling, eSIM",HT80 with MIMO,"Quad HD LED Backlit Multi-touch IPS Display, Promotion Technology, Wide Color Display, True Tone Display, Fully Laminated Display, Antireflective Coating, Fingerprint-resistant Oleophobic Coating",Liquid Retina XDR Display,"HEVC, H.264, MPEG-4 Part 2, Motion JPEG, HDR with Dolby Vision, HDR10 and HLG",Yes,Yes,Yes,"AAC-LC, HE-AAC, HE-AAC v2, Protected AAC, MP3, Linear PCM, Apple Lossless, FLAC, Dolby Digital (AC-3), Dolby Digital Plus (E-AC-3), Dolby Atmos and Audible (formats 2, 3, 4, Audible Enhanced Audio, AAX and AAX+), Spatial Audio Playback, User-Con?gurable Maximum Volume Limit",Yes,,Maps,,,,1 Year,,,,,1 Year,"5G, 4G LTE, UMTS, GSM",Lithium Polymer,Multi-Touch,264 PPI,Up to 9 hours of Surfing the Web using a Cellular Data Network,,Yes,"14,000",28%,"9,999",SAMSUNG
N9,N9 with Keyboard,Black,Wi-Fi+3G,Android,6.0 (Marshmallow),1 GB,Yes,17.78 cm (7 inch),"Tablet, OTG Cable, Earphone, Charger, Keyboard, User Manual",1024 x 600 Pixels,5 Megapixels,8 GB,1.3 GHz,Dual Sim,1 Year Warranty Against Manufacturing Defects,,,,,,,,,,2800 mAh,,Yes,2 Megapixels,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,32 GB,,Yes,,Customer can visit nearby service center of I KALL or can call at: 0120-4731048,1 Year,,,,"GSM, WCDMA",Li-Ion,,,,,,"56,282",11%,"49,590",IKall
Slate S1,Slate S1 3G Calling Android Tablet,Gold,3G,Android,4.4,512 MB,Yes,17.78 cm (7 inch),"Tablet,USB Cable Documentation,Charging Power Adapter,User guide",1024 x 600$$ pixels,5 megapixels,4 GB,1.3 GHz,Dual Sim,NA,Quad HD,,MediaTek MT6582 QuadCore MTK ARM Cortex-A7 (32 Bit) CPU (Processor) @ 1.3GHz,,,,,,4,3000 mAh,,,2 megapixels,,Yes,,,,,,,,,,,,,,,,LCD,,,,,,Yes,,,,,,,,,,,,"GSM, GSM",,,,3000,512,,"7,999",27%,"5,799",APPLE
IS-208 Pro,IS-208 Pro,Dark Red,,,,4 MB,,7.11 cm (2.8 inch),,,1.3MP Rear Camera,16 GB,,,"Three Month warranty other than breakage. Customer need to send the product to nearest service center , in case, there is no service center nearby the product should be send to company back for repair. For Our any Query Please contact us on our Customer Care no. 8287122323",,,,,,,,,,2800 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hybrid Slot,,,,,,,,,,,,,,,"24,844",11%,"21,990",Lenovo
T701,T701,Black,Wi-Fi+4G,Android,Andriod 10,2 GB,Yes,17.78 cm (7 inch),"Tablet, Adapter, Earphone, USB Cable, User Manual",1280 x 720$$Pixels pixels,2 megapixels,16 GB,1.3 GHz,Dual Sim,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4G VoLTE,,,,,,,"37,900",No-discount,"37,900",Lenovo
Gorgeo 4Gi,Gorgeo4G,Black Silver,Wi-Fi+4G,Android,5.1 Lollipop,1 GB,Yes,17.78 cm (7.0 inch),Tablet,1024x600 Pixels,2 Megapixels,8 GB,1 GHz,,1 Year iBall Warranty,,,,,,,,,,3000 mAh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 months,,,,,12 months,,,,,,,,"3,990",No-discount,"3,990",HP
Wtab 709,Champion 709,Blue,Wi-Fi+3G,Android,5.1,1 GB,Yes,17.78 cm (7 inch),Tablet,1024*600 Pixels,5 Megapixels,8 GB,1.2 GHz,Dual Sim,1 Year Manufacturer Warranty,,GSM,ARM 11,,,,10 finger multitouch,Acceleration,8 GB,3000 mAh,Yes,Yes,2 Megapixels,,Yes,,,,,Yes,Yes,Yes,Yes,4.0,2.0,,3.5 mm,802.11b/g/n,,,,"MP4, MOV, 3GP, AVI",,,Yes,"MP3, MP2, OGG, AAC, M4A, AMR, FLAC, APE, MAV",Yes,,Google Map,32 GB,micro SD,Yes,12 months,"On-site Service. Customer needs to call the nearby Authorized Service Center, service engineer will come to the site to get the product repaired or inspected.",1 Year,Warranty of the product is limited to manufacturing defects only,"Warranty does not cover any external accessories (such as battery, cable, carrying bag), damage caused to the product due to improper installation by customer, normal wear and tear to magnetic heads, audio, video, laser pick-ups and TV picture tubes, pane",12 months,"GSM, WCDMA",,Capacitive,,3000 mAh Li-oN,,Yes,"37,900",,"37,867",I kall
N4 with Keyboard,N4 with Keyboard,Black,Wi-Fi+4G,Android,6.0 (Marshmallow),1 GB,Yes,17.78 cm (7 inch),"Tablet, Charger, Keyboard, User Manual",1024 x 600 Pixels,5 Megapixels,8 GB,1 GHz,Dual Sim,1 Year Warranty,,WCDMA + GSM,,,,,,,8 GB,3000 mAh,,,2 Megapixels,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,32 GB,,Yes,,Customer can visit nearby service center or can call at: 0120-4731048,1 Year,,,,"GSM, WCDMA",Li-ion,,,,,,"45,000",33%,"29,999",HP
IK2 3G Calling Tablet with Keyboard,IK2 3G Calling Tablet with Keyboard,Black,Wi-Fi+3G,Android,6.0 (Marshmallow),1 GB,Yes,17.78 cm (7 inch),"Tablet, Charger, Keyboard, User Manual",1024 x 600 Pixels,5 Megapixels,8 GB,1.3 GHz,Dual Sim,1 Year Warranty,,WCDMA + GSM,,,,,,,,3000 mAh,,,2 Megapixels,,,,,,,Yes,Yes,,Yes,,,,,,,,,,,,,,,,,32 GB,,,,Customer can visit nearby service center or can call at: 0120-4731048,1 Year,,,,"GSM, WCDMA",Li-Ion,,,,,,,,,APPLE
Slate SS4 32GB,Slate SS4,Black,Wi-Fi+4G,Android,6.0,1 GB,Yes,17.78 cm (7 inch),"Tablet, Charging Power Adapter, USB Cable, Documentation",1024 x 600$$pixel pixels,5 megapixels,32 GB,1.3 GHz,Dual Sim,"Device: 6 Months, Accessories: 3 Months.",,"2G, 3G, and 4G VOLTE",QuadCore ARM Cortex-A7 CPU (Processor) @ 1.3GHz,,"DUAL SIM SLOT: 4G: B1/B3/B5/B40 (VOLTE) |3G 2100 | 2G GSM/EDGE 850/900/1800/1900, VOLTE and LTE Supported - Supports Reliance Jio 4G SIM Cards and other Indian 4G network providers, QuadCore ARM Cortex-A7 CPU (Processor) @ 1.3GHz, Mali-400 MP2 GPU (Graphics Processor), Inbuilt GPS Chip and Antenna, Multi Touch 5 Point Capacitive Touch Screen (Glass), Inbuilt FM Radio, Bluetooth 4.0 Connectivity, Wi-Fi (802.11 b/g/n) Connectivity, MicroUSB Port, WiFi HotSpot Tethering, OTG Support, Supports 480p, 720p and 1080p HD Videos",,Multi Touch 5 Point Capacitive Touch Screen (Glass),,32 GB,3000 mAh,,,,,,,,,,Yes,Yes,,,4.0,,,,,,,7-inch (diagonal) LCD - backlit glossy widescreen display,,,,,,Yes,,,,,,,Onsite (Free pickups and deliveries),3 Months,(Against Manufacturing Defects),"Physical damages, Water Damages, Moisture Damages, Seal Tampering & Burnout Cases",,"4G VoLTE, GSM",Rechargeable Polymer Battery,Multi touch enabled Capacitive touch screen (Glass),,Built-in 3000 mAh rechargeable polymer battery,1 GB DDR III RAM,,,,,Spinup
SM-T865NZBAINU,Galaxy Tab S6 LTE,Cloud Blue,Wi-Fi+4G,Android,9.0 (Pie),6 GB,No,26.67 cm (10.5 inch),"Tablet (Non-removable Battery Included), Travel Adapter, USB Cable, User Manual, S Pen, S Pen Accessories",2560 x 1600 Pixels,13+5 Megapixels,128 GB,2.8 GHz,Single Sim,"1 Year on Device, 6 Months on Accessories",Quad HD,LTE,Octa Core Processor,,"Dex Mode and Keyboard Support, PC Sync (Smart Switch), On-screen Optical Fingerprint Scanner",Nano SIM,Yes,"Accelerometer, Fingerprint Sensor, Gyro Sensor, Geomagnetic Sensor, Hall Sensor, RGB Light Sensor",128 GB,7040 mAh,Yes,Yes,8 Megapixels,"4K, 1080, 720 pixels",Yes,Yes,Yes,,"13MP + 5MP Dual Rear Camera Setup, Auto Focus Rear Camera",Yes,Yes,,,v5.0,"Yes, USB 3.1 (1st Gen)",Android,,802.11a/b/g/n/ac (2.4 GHz | 5 GHz),"Wi-Fi Direct, ANT+, VHT80 MU-MIMO",WQXGA Super AMOLED Touch Display (16:10 Screen Ratio),Super AMOLED,"MP4, M4V, 3GP, 3G2, WMV, ASF, AVI, FLV, MKV, WEBM",Yes,Yes,Yes,"MP3, M4A, 3GA, AAC, OGG, OGA, WAV, WMA, AMR, AWB, FLAC, MID, MIDI, XMF, MXMF, IMY, RTTTL, RTX, OTA",Yes,"A-GPS, Glonass, Beidou, Galileo",Google Maps,1 TB,microSD,Yes,1 Year,Carry In,1 Year,Manufacturing Defects,Physical Damage,1 Year,"4G LTE, WCDMA, GSM",Lithium-ion,,287 PPI,,DDR4,,,,,APPLE
Wtab 709,Wtab 709,Blue,Wi-Fi+3G,Android,4.4.2 (Android KitKat),1 GB,Yes,17.78 cm (7 inch),"Earphone, Charger, Manual., Tablet",1024x600 Pixels,5 Megapixels,8 GB,1.2 GHz,Dual Sim,1 Year on Product & 6 Months on Accessories,HD,GSM: 850/900/1800/1900MHz:: WCDMA 2100MHZ,MALI400-MP2 OpenGL ES2.0,Ultra Slim,Google talk,Normal Sim,5 Finger Multi-touch,3-axis gravity sensor,8 GB,3000 mAh,Yes,Yes,2 Megapixels,1024x600 pixels,Yes,,,,,Yes,Yes,Yes,Yes,4,USB 2.0,Android,3.5 mm,EEE802.11 b/g wireless network,,,LCD,"MP4,MOV,3GP,AVI",No,Yes,Yes,"MP3,MP2,OGG,AAC,M4A,AMR,FLAC,APE,MAV",Yes,,Google Map,32 GB,microSD Card,Yes,12 months,Off-site Service. Customer needs to visit the nearby Authorized Service Center,1 Year,Warranty of the product is limited to manufacturing defects only,"If damaged, will not be repaired/covered under warranty.",12 months,"GSM, WCDMA",Lithium - Ion,Capacitive,133 PPI,3000 mAh,DDR3,Yes,,,,Lenovo
IRAW7258,IRAW7258,Black,Wi-Fi+4G,Android,Andriod 9.0,2 GB,Yes,17.78 cm (7 inch),"Tablet PC, Earphones, Charger, User Manual, USB Cable, Cover",1280 x 800$$pixel pixels,5 megapixels,16 GB,1.6 GHz,Dual Sim,1 Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4G VoLTE,,,,,,,,,,APPLE
Slice 3G,Slice 3G,Black,Wi-Fi+3G,Android,Kitkat 4.4.2,512 MB,Yes,17.78 cm (7 inch),"AC Power Charger, USB Cable, OTG Cable, Warranty Card",1024*600 Pixels,2 Megapixels,4 GB,1.3,Dual Sim,1 Year on Product & 6 Months on Accessories,HD,GSM,,,,,,,4 GB,3000 mAh,,Yes,0.3 Megapixels,,Yes,,,,,Yes,Yes,,,,,,3.5 mm,,,,,,,,Yes,,,,,,,Yes,1,,1 Year,,,1,GSM,,Capacitive,,,,,,,,Lenovo
N3,N3,Green,3G,Android,6.0 Marshmallow,2 GB,Yes,17.78 cm (7 inch),1 Tablet,1024 x 600$$Pixels pixels,5 megapixels,32 GB,1.3 GHz,No Sim,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,OPPO
q45,q45,Cobalt Brown,Wi-Fi+3G,Android,4.4 kitkat,2 GB,Yes,17.78 cm (7 inch),1,1024x600 Pixels,2 Megapixels,16 GB,1.2 GHz,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12 months,,,,,12 months,,,,,,,,,,,Lenovo
8088Q-3BALIN1-A,3T10 with Speaker,Midnight Blue,Wi-Fi+4G,Android,9.0 (Pie),2 GB,Yes,25.4 cm (10 inch),"Tablet, Power Adapter, USB Cable, Bluetooth Speaker, User Manual, Warranty Card",1280 x 800 Pixels,5 Megapixels,16 GB,1.28 GHz,Single Sim,"1 Year on Tablet, 6 Months on Accessories",HD,4G VoLTE,MediaTek Quad Core (MT8765B),,"Face Unlock, FM Radio, Dual Speakers, Far Field AI Voice Control, Wi-Fi Display",Nano SIM,Yes,"G-Sensor, Gyroscope",16 GB,4080 mAh,Yes,Yes,5 Megapixels,,Yes,,Yes,,,Yes,Yes,Yes,Yes,v4.2,"Yes, USB 2.0",Android,3.5 mm,802.11 a/b/g/n,"Wi-Fi Direct, OTG and Bluetooth Support",HD LED Backlit Multi Touch IPS Display,IPS,"MP4, 3GP, AVI",Yes,Yes,Yes,MP3,Yes,A-GPS,Google Maps,128 GB,microSD,Yes,1 Year,Carry In,,Manufacturing Defects,Physical Damage,1 Year,"4G VoLTE, WCDMA, GSM",Li-ion,Capacitive,,,,,,,,Lenovo
N6 Tablet with keyboard,N6 Tablet with keyboard,White,Wi-Fi+4G,Android,6.0,1 GB,Yes,17.78 cm (7 inch),"Tablet, Charger, user manual and Keyboard",1024 x 600$$ pixels,5 megapixels,8 GB,1.3 GHz,Dual Sim,1 Year Manufacture warranty,,GSM,,,,Micro SIM,,,,2800 mAh,,,2 megapixels,,Yes,,,,,,No,,Yes,,,,3.5 mm,,,,,MP4,,,,MP3,,,,32 GB,,Yes,,,1 Year,,,,"4G VoLTE, GSM",Li-Ion,,,,,,,,,Maplin
VA75,VA75,White,Wi-Fi+2G,Android,v4.1 (JellyBean),512 MB,Yes,17.78 cm (7 inch),"OTG Cable, Earphone, USB Cable, Tablet, Battery",800 x 480 Pixels,2 Megapixels,4 GB,1 GHz,Single Sim,1 Year Waranty by Videocon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,GSM,,,,,,,,,,Maplin
